,Feature,Importance
8,Competition/Performance,-0.0040423639744522595
2,Education,0.0004850836769342698
5,Figure/Appearance,0.0004850836769342721
7,Activation/Enjoyment,0.002102029266715174
6,Distraction/Stress Red.,0.002263723825693264
4,Fitness/Health,0.00719540787452502
0,Sex,0.007276255154014065
9,Aesthetics,0.00735710243350311
3,Exercise min./wk cat.,0.008327269787371654
1,Age (years),0.009944215377152557
10,Social Contact,0.010914382731021098
