,Feature,Importance
8,Zind_compperf,0.0003783579265985576
4,Zind_fitheal,0.0011350737797956867
9,Zind_aes,0.0011350737797956867
6,Zind_disstre,0.0015134317063942443
2,edu,0.0022701475595913734
7,Zind_actenj,0.002648505486189931
3,sport_min_kat,0.00340522133938706
5,Zind_figap,0.00340522133938706
0,sex,0.0056753688989784334
10,Zind_con,0.007567158531971249
1,age,0.009458948164964051
