,Feature,Importance
0,sex,0.0003783579265985715
2,edu,0.0007567158531971291
3,sport_min_kat,0.0022701475595913734
6,Zind_disstre,0.004161937192584189
5,Zind_figap,0.0056753688989784334
7,Zind_actenj,0.00681044267877412
4,Zind_fitheal,0.008323874385168378
8,Zind_compperf,0.009837306091562623
9,Zind_aes,0.01021566401816118
1,age,0.015891032917139614
10,Zind_con,0.020809685962920932
