,sex,age,edu,sport_min_kat,Zind_fitheal,Zind_figap,Zind_disstre,Zind_actenj,Zind_compperf,Zind_aes,Zind_con
0,1.5394353182231428e-06,3.941068801720223e-06,3.883819534922669e-06,3.6324035521081105e-06,2.7499884572802704e-06,2.0268534893873805e-06,2.0490357753449297e-06,2.4043239269292347e-06,1.3609954335529541e-06,1.8114436844323373e-06,1.4377695565875234e-06
1,1.9748239578339333e-06,5.055698265136418e-06,4.9822575204841655e-06,4.659734993212916e-06,3.5277516331287928e-06,2.6000967560274477e-06,2.628552619559216e-06,3.084324816921725e-06,1.74591767903118e-06,2.3237637313423228e-06,1.8444054766224418e-06
2,1.4504355129797882e-06,3.7132216754427384e-06,3.6592821923456763e-06,3.4224014713912458e-06,2.5910018957851776e-06,1.9096738613651166e-06,1.930573757295076e-06,2.2653214555019464e-06,1.282311538927045e-06,1.7067177096334289e-06,1.354647033038892e-06
3,8.201935213214735e-07,2.099756827149692e-06,2.069255065664465e-06,1.9353034706487104e-06,1.4651627094715527e-06,1.0798846150696992e-06,1.0917030627680687e-06,1.2809965608956369e-06,7.25122924354389e-07,9.651166843326148e-07,7.660273285892977e-07
4,1.8364549770980997e-06,4.701460547002933e-06,4.633165579333408e-06,4.333241283026505e-06,3.280572575951522e-06,2.4179155573291364e-06,2.4443777337833347e-06,2.868215362016222e-06,1.6235866011040233e-06,2.1609445095961786e-06,1.7151735317093197e-06
