,Raw_missing_cols,Percentage
67589,7,50.0
70538,7,50.0
70430,7,50.0
72828,7,50.0
70547,7,50.0
54826,7,50.0
75468,7,50.0
70622,7,50.0
76637,7,50.0
57670,7,50.0
73795,7,50.0
70812,7,50.0
54722,7,50.0
70937,7,50.0
55133,7,50.0
52068,7,50.0
72564,7,50.0
76458,7,50.0
59030,7,50.0
69265,7,50.0
71489,7,50.0
68016,7,50.0
69197,7,50.0
73699,7,50.0
76354,7,50.0
68966,7,50.0
74644,7,50.0
75222,7,50.0
69155,7,50.0
70544,7,50.0
70367,7,50.0
69744,7,50.0
53243,7,50.0
69627,7,50.0
56392,7,50.0
69915,7,50.0
52636,7,50.0
70217,7,50.0
69944,7,50.0
54525,7,50.0
70426,7,50.0
51995,7,50.0
71865,7,50.0
71332,7,50.0
49293,7,50.0
63288,7,50.0
51703,7,50.0
55846,7,50.0
72156,7,50.0
55290,7,50.0
63011,7,50.0
72127,7,50.0
56368,7,50.0
72008,7,50.0
62679,7,50.0
67670,7,50.0
71972,7,50.0
58382,7,50.0
55822,7,50.0
71881,7,50.0
75829,7,50.0
63027,7,50.0
53102,7,50.0
72266,7,50.0
72007,7,50.0
70332,7,50.0
50939,7,50.0
72307,7,50.0
71753,7,50.0
72076,7,50.0
72089,7,50.0
62880,7,50.0
49739,7,50.0
71822,7,50.0
71501,7,50.0
53659,7,50.0
72925,7,50.0
71375,7,50.0
58179,7,50.0
64442,7,50.0
71613,7,50.0
61798,7,50.0
53306,7,50.0
71543,7,50.0
71390,7,50.0
70400,7,50.0
74183,7,50.0
71596,7,50.0
72590,7,50.0
76904,7,50.0
71271,7,50.0
75694,7,50.0
52978,7,50.0
71464,7,50.0
76478,7,50.0
71642,7,50.0
58018,7,50.0
53542,7,50.0
52712,7,50.0
61709,7,50.0
50997,7,50.0
59320,7,50.0
60567,7,50.0
50786,7,50.0
63382,7,50.0
50812,7,50.0
52637,7,50.0
50841,7,50.0
73947,7,50.0
49813,7,50.0
50973,7,50.0
67560,7,50.0
67947,7,50.0
70064,7,50.0
50985,7,50.0
67942,7,50.0
51008,7,50.0
72581,7,50.0
50977,7,50.0
76557,7,50.0
58800,7,50.0
63192,7,50.0
62296,7,50.0
59279,7,50.0
51293,7,50.0
50765,7,50.0
76592,7,50.0
73295,7,50.0
50696,7,50.0
72538,7,50.0
50045,7,50.0
56260,7,50.0
51730,7,50.0
50016,7,50.0
71415,7,50.0
55291,7,50.0
50122,7,50.0
72600,7,50.0
62805,7,50.0
50060,7,50.0
74044,7,50.0
61440,7,50.0
50059,7,50.0
74043,7,50.0
50256,7,50.0
55620,7,50.0
55201,7,50.0
50258,7,50.0
56339,7,50.0
63044,7,50.0
50270,7,50.0
61236,7,50.0
70021,7,50.0
51316,7,50.0
64962,7,50.0
53531,7,50.0
52201,7,50.0
53517,7,50.0
65710,7,50.0
52189,7,50.0
53403,7,50.0
59768,7,50.0
52206,7,50.0
76686,7,50.0
51326,7,50.0
51116,7,50.0
53137,7,50.0
51610,7,50.0
55590,7,50.0
53373,7,50.0
54845,7,50.0
55434,7,50.0
53440,7,50.0
55247,7,50.0
75270,7,50.0
53035,7,50.0
58916,7,50.0
76500,7,50.0
53034,7,50.0
67651,7,50.0
70083,7,50.0
75334,7,50.0
51994,7,50.0
71595,7,50.0
56490,7,50.0
51285,7,50.0
59057,7,50.0
70625,7,50.0
51589,7,50.0
70068,7,50.0
51593,7,50.0
71895,7,50.0
71132,7,50.0
51729,7,50.0
52702,7,50.0
74126,7,50.0
51756,7,50.0
61733,7,50.0
71542,7,50.0
52002,7,50.0
54183,7,50.0
50952,7,50.0
51961,7,50.0
75106,7,50.0
51964,7,50.0
68942,7,50.0
52010,7,50.0
55110,7,50.0
50048,7,50.0
62701,7,50.0
74719,7,50.0
61606,7,50.0
60728,7,50.0
55917,7,50.0
55897,7,50.0
55888,7,50.0
76293,7,50.0
56447,7,50.0
76641,7,50.0
65565,7,50.0
55032,7,50.0
66413,7,50.0
70933,7,50.0
53957,7,50.0
50011,7,50.0
50063,7,50.0
50007,7,50.0
50787,7,50.0
51108,7,50.0
51264,7,50.0
51310,7,50.0
51276,7,50.0
51739,7,50.0
51822,7,50.0
52170,7,50.0
61650,7,50.0
49377,7,50.0
74627,7,50.0
63309,7,50.0
56021,7,50.0
73856,7,50.0
56071,7,50.0
74678,7,50.0
76893,7,50.0
64846,7,50.0
71767,7,50.0
74691,7,50.0
62324,7,50.0
65445,7,50.0
56040,7,50.0
74593,7,50.0
65579,7,50.0
63514,7,50.0
74479,7,50.0
73802,7,50.0
68476,7,50.0
69151,7,50.0
74690,7,50.0
68459,7,50.0
70675,7,50.0
60938,7,50.0
63722,7,50.0
52738,7,50.0
53036,7,50.0
52335,7,50.0
62849,7,50.0
50986,7,50.0
49001,7,50.0
71391,7,50.0
75757,7,50.0
49170,7,50.0
61164,7,50.0
56408,7,50.0
61622,7,50.0
63128,7,50.0
62718,7,50.0
49703,7,50.0
55778,7,50.0
72040,7,50.0
49827,7,50.0
56579,7,50.0
58706,7,50.0
49939,7,50.0
56619,7,50.0
50054,7,50.0
71384,7,50.0
50010,7,50.0
52737,7,50.0
50025,7,50.0
48879,7,50.0
75828,7,50.0
53688,7,50.0
74093,7,50.0
53881,7,50.0
53936,7,50.0
53950,7,50.0
54697,7,50.0
55118,7,50.0
55145,7,50.0
55079,7,50.0
56332,7,50.0
56307,7,50.0
56732,7,50.0
61744,7,50.0
61677,7,50.0
61785,7,50.0
61723,7,50.0
62126,7,50.0
62588,7,50.0
61923,7,50.0
61861,7,50.0
63736,7,50.0
70447,7,50.0
70382,7,50.0
71149,7,50.0
71823,7,50.0
53558,7,50.0
59710,7,50.0
61728,7,50.0
76378,7,50.0
55136,7,50.0
51946,7,50.0
57877,7,50.0
56475,7,50.0
61051,7,50.0
57925,7,50.0
56548,7,50.0
63760,7,50.0
57542,7,50.0
58289,7,50.0
62283,7,50.0
58473,7,50.0
59491,7,50.0
62369,7,50.0
55048,7,50.0
58437,7,50.0
62353,7,50.0
59444,7,50.0
62892,7,50.0
57638,7,50.0
55655,7,50.0
57467,7,50.0
67715,7,50.0
58688,7,50.0
59256,7,50.0
62786,7,50.0
55142,7,50.0
59293,7,50.0
57688,7,50.0
52537,7,50.0
71411,7,50.0
58439,7,50.0
53607,7,50.0
51754,7,50.0
58505,7,50.0
53639,7,50.0
54873,7,50.0
59587,7,50.0
53711,7,50.0
52311,7,50.0
59066,7,50.0
53983,7,50.0
66457,7,50.0
58431,7,50.0
54262,7,50.0
62354,7,50.0
58438,7,50.0
54541,7,50.0
50558,7,50.0
59065,7,50.0
54645,7,50.0
69814,7,50.0
72097,7,50.0
53504,7,50.0
55312,7,50.0
74061,7,50.0
61710,7,50.0
55155,7,50.0
59548,7,50.0
61732,7,50.0
55212,7,50.0
61694,7,50.0
55135,7,50.0
61803,7,50.0
55292,7,50.0
61675,7,50.0
61661,7,50.0
70273,7,50.0
55617,7,50.0
54366,7,50.0
61764,7,50.0
56372,7,50.0
54365,7,50.0
61741,7,50.0
56355,7,50.0
61639,7,50.0
61780,7,50.0
61699,7,50.0
59507,7,50.0
55046,7,50.0
61640,7,50.0
61657,7,50.0
69830,7,50.0
58745,7,50.0
71951,7,50.0
75095,7,50.0
58256,7,50.0
73862,7,50.0
60125,7,50.0
52594,7,50.0
75474,7,50.0
60581,7,50.0
54844,7,50.0
63079,7,50.0
67681,7,50.0
60856,7,50.0
55085,7,50.0
60951,7,50.0
62542,7,50.0
72353,7,50.0
61170,7,50.0
66304,7,50.0
51976,7,50.0
61113,7,50.0
76435,7,50.0
61347,7,50.0
51320,7,50.0
59666,7,50.0
53465,7,50.0
54789,7,50.0
54339,7,50.0
76930,7,50.0
54359,7,50.0
63919,7,50.0
69413,7,50.0
54747,7,50.0
74055,7,50.0
51983,7,50.0
54603,7,50.0
53033,7,50.0
64268,7,50.0
53298,7,50.0
58430,7,50.0
76558,7,50.0
54696,7,50.0
54178,7,50.0
54641,7,50.0
61151,7,50.0
54640,7,50.0
61150,7,50.0
72149,7,50.0
54927,7,50.0
61783,7,50.0
75680,7,50.0
63096,7,50.0
54270,7,50.0
72151,7,50.0
74097,7,50.0
67021,7,50.0
53210,7,50.0
71515,7,50.0
52300,7,50.0
53167,7,50.0
72420,7,50.0
53371,7,50.0
74125,7,50.0
50118,7,50.0
53737,7,50.0
55274,7,50.0
53884,7,50.0
55174,7,50.0
76187,7,50.0
53922,7,50.0
51259,7,50.0
53911,7,50.0
57727,7,50.0
53992,7,50.0
72033,7,50.0
53984,7,50.0
72009,7,50.0
54017,7,50.0
54590,7,50.0
72758,7,50.0
55076,7,50.0
55817,7,50.0
55845,7,50.0
74215,7,50.0
53486,7,50.0
56385,7,50.0
70454,7,50.0
72962,7,50.0
56549,7,50.0
56730,7,50.0
54942,7,50.0
67498,7,50.0
56746,7,50.0
66283,7,50.0
56791,7,50.0
71974,7,50.0
62900,7,50.0
59456,7,50.0
55191,7,50.0
75650,7,50.0
59575,7,50.0
50092,7,50.0
58767,7,50.0
50028,7,50.0
52802,7,50.0
58828,7,50.0
56607,7,50.0
54172,7,50.0
59578,7,50.0
55192,7,50.0
61717,7,50.0
55248,7,50.0
63013,7,50.0
57671,7,50.0
55019,7,50.0
71792,7,50.0
55305,7,50.0
54478,7,50.0
55397,7,50.0
52559,7,50.0
55410,7,50.0
56839,7,50.0
55472,7,50.0
55568,7,50.0
54453,7,50.0
75448,7,50.0
55774,7,50.0
74111,7,50.0
55835,7,50.0
54376,7,50.0
72578,7,50.0
55833,7,50.0
76360,7,50.0
59654,7,50.0
59728,7,50.0
74664,7,50.0
53832,7,50.0
65005,7,50.0
59189,7,50.0
71599,7,50.0
55483,7,50.0
64817,7,50.0
55911,7,50.0
51348,7,50.0
66566,7,50.0
75890,3,21.4286
63593,3,21.4286
68272,3,21.4286
57129,3,21.4286
68233,3,21.4286
69854,3,21.4286
68262,3,21.4286
57115,3,21.4286
70957,3,21.4286
68227,3,21.4286
63604,3,21.4286
66521,3,21.4286
63577,3,21.4286
68276,3,21.4286
57133,3,21.4286
51901,3,21.4286
49491,3,21.4286
69863,3,21.4286
57138,3,21.4286
68281,3,21.4286
75892,3,21.4286
70967,3,21.4286
66540,3,21.4286
52042,3,21.4286
70966,3,21.4286
52373,3,21.4286
57263,3,21.4286
68365,3,21.4286
69865,3,21.4286
56853,3,21.4286
71171,3,21.4286
57281,3,21.4286
65230,3,21.4286
71712,3,21.4286
60976,3,21.4286
75902,3,21.4286
63613,3,21.4286
59973,3,21.4286
